depth_code_sub,mae,mape,rmse
A12,8788914.464219648,3.6442364009797257,18729525.55369225
A01,19971295.111722797,4.107993153842752,50215110.26877253
A01,19971295.111722797,4.107993153842752,50215110.26877253
A04,15729192.37851544,8.80551929269319,64815768.60474506
C01,16019380.768477354,133.06091198837328,52927102.159626395
B01,46480920.831423275,9.06149694994828,112917823.83292386
A01,19971295.111722797,4.107993153842752,50215110.26877253
B14,4670968.276256109,3.117171773112634,10481747.637071019
B19,23327497.45700908,6.082379817253295,50907825.99063655
B08,12874852.383673206,18.206257064199896,34417687.16218349
B02,5254931.69931179,4.263287038924494,11068862.999981131
A14,6111877.601906109,7.305769980599526,11070456.96434171
B13,11042893.941821855,23.657777085728096,24335783.094787806
A03,10811810.922308078,5.815102167883106,19137545.389428135
C07,19840494.219757456,10.57196862395371,42684235.646322936
A08,6661768.504603889,4.632336784822428,10391559.314643161
A02,7424732.962879785,3.7916398704549583,13469391.388240032
A06,10135798.439373257,4.61419726608678,18905187.03143252
B10,8707290.889071263,172.78938394365647,22100952.077417318
B15,4485362.69046573,5.065231827795114,7040369.861609239
B05,14787996.922945485,7.768092057365202,39499553.0230955
C04,17743455.308338355,14.917604335388374,49694248.814196356
B06,12782046.60997446,3.2177472317625075,26153751.586021982
A01,19971295.111722797,4.107993153842752,50215110.26877253
B03,9251392.709191361,3.0217562643855453,21510880.732326552
B18,4983041.345566161,5.265817649539667,9810062.088511342
C05,73393828.22400723,19.51166691657803,136362872.26041207
B22,6655165.207436879,4.553729595597895,10621078.548128976
B21,4338646.823490506,18.11983243235939,11691527.171061082
A11,13999466.429176604,3.904075040823267,23129118.801819865
A05,11681023.206710178,1.2628338381230833,16998369.853098474
B09,14403029.154552741,26.78350881190494,20316083.935672328
A15,5165769.174825052,0.9470150323679978,6714373.815564956
A07,4954937.93030224,1.8010151122053464,6447255.098440351
A10,9359425.727137988,6.057526259798222,13671874.893000996
C06,15342360.484970821,19.129916483002333,48651137.040289745
B12,5624921.932244669,9.453089276895424,8960256.686006363
B17,5375311.040984448,3.4427195632269276,17847712.746895622
B16,5894553.248332205,231.22307901068908,9617698.842637217
A13,12967381.270091292,2.117759085881102,18733452.329649843
C02,2620820.253217375,1.322816422108579,2628984.5767008252
A09,14521174.793171301,0.8138025156918905,18133102.511532936
B04,11201549.03207996,0.868576462632001,14659789.793891046
B20,3881986.278285024,30.859890730235414,4867530.0686548725
