depth_code_sub,mae,mape,rmse
A12,171970768787.91833,11730.4276540193,316797863220.83527
A01,404436413819.48865,58474.42283095487,736358074103.4072
A01,404436413819.48865,58474.42283095487,736358074103.4072
A04,206443967498.95407,11130.161071239203,404706196074.6599
C01,78210510417.68294,8211.956085205076,242443482491.17267
B01,734540924090.8229,29711.86397526193,1624995149119.1814
A01,404436413819.48865,58474.42283095487,736358074103.4072
B14,118830792279.51976,15035.71986947862,237231761119.7588
B19,1611953981259.96,57595.531354745384,2639376282353.104
B08,53177516533.4065,4585.413572522016,149187019177.63104
B02,87533888984.37552,16784.228305180513,170677696872.109
A14,258049676102.82413,27920.86015834636,461565461635.4284
B13,171452388614.91177,19560.882147018525,392205040682.61774
A03,226444957185.66623,12148.21924392489,378549217289.3615
C07,237741841628.29935,31125.905227116764,432886276192.7462
A08,259604244238.43314,23896.0199601762,418570647029.52356
A02,414101060785.0277,45086.75397080811,555856029843.5138
A06,491630432417.8081,31546.571130223372,875989661984.0334
B10,188747158613.02347,23961.973002721355,436010897002.43286
B15,160189794149.16333,19776.43160633861,312546447436.87775
B05,64462182947.36241,14144.092460361251,126017417099.89415
C04,252208026404.10797,30726.84483395699,420033589777.07324
B06,294521875960.04144,30144.54334338305,550587606755.8732
A01,404436413819.48865,58474.42283095487,736358074103.4072
B03,51170117288.41887,7916.0188776476425,84523455585.99379
B18,122379649586.09387,36925.90055100163,194381345822.36096
C05,2987647236965.181,40786.06908163745,6105266819443.556
B22,262797891304.88824,38706.78701855793,329037559176.7459
B21,102728314716.12471,32389.59995684056,192200044395.12332
A11,1510928740686.6768,90633.4525846451,1911527867035.8582
A05,454799440445.46436,24942.311751771547,747043252683.3931
B09,70640569394.96082,9872.776259120023,107099111051.98483
A15,788452740880.1263,88524.23486142812,1001794881931.9849
A07,279656308408.2061,35221.193807612144,365221819930.04803
A10,1631536237386.7761,110839.68904976349,2064690202799.498
C06,645025027870.6683,154274.4640303475,898631016807.716
B12,528708308437.77563,110847.71362625055,993823185118.4917
B17,240023398779.8144,51984.59164691232,404482401264.4977
B16,1117559598330.1846,104152.61757742478,2043967958646.8623
A13,1531807098869.3872,60495.190290321254,2120165021661.908
C02,392205112524.46704,98032.4925555301,489169116605.6603
A09,2556094577692.252,176766.3320468564,3449047069789.783
B04,981275045194.9468,77519.98607540053,1361933884925.4065
B20,5179055.73245614,26.42375373702112,5179055.73245614
