depth_code_sub,mae,mape,rmse
A12,117286088372.06656,11524.869760002357,217431608814.00012
A01,331257886315.2202,23218.49776376929,619160256396.2914
A01,331257886315.2202,23218.49776376929,619160256396.2914
A04,176728718200.86548,11730.4071609039,376119628349.7949
C01,62595413293.83429,5579.86423336055,212634296198.2063
B01,587594608630.5057,31492.22428626899,1283792629763.718
A01,331257886315.2202,23218.49776376929,619160256396.2914
B14,100799039696.64746,15240.817116084449,214114835280.0369
B19,1324567279912.6123,80726.98398915604,2269078593880.9336
B08,44393299889.79663,5199.569617576655,139646717156.64703
B02,72532287282.27193,17169.701239106773,143905771395.2454
A14,204810309129.1937,30096.016287282793,362531490394.80695
B13,140216041466.32864,19252.810063416786,343231848675.8888
A03,168549986734.51544,12480.653511153327,278608122006.91815
C07,280552025291.55994,31404.37841353115,527564189140.57043
A08,218959317191.88535,24246.51892125568,374591554035.10913
A02,352815827356.1398,174362.10985385475,474794033533.497
A06,400776040296.22723,29663.029766103937,725246325944.237
B10,157151665905.01532,19183.356574230264,362110295569.748
B15,122521864091.4847,19703.00126781826,215845714705.80014
B05,49752681156.09151,5285.892207950525,111435841786.75685
C04,291846104323.12164,29523.18226827571,541581077177.0308
B06,245114570168.41965,21258.939241076307,474012489294.2695
A01,331257886315.2202,23218.49776376929,619160256396.2914
B03,36794487133.175224,8203.300125329193,63371342534.079506
B18,99600877372.45377,18752.937096399193,167867097320.8658
C05,2786403765400.536,42322.07106551494,5194760016500.237
B22,219286113217.4125,39978.94634108348,273430324649.15384
B21,91353018809.09859,34769.46804169749,160106854964.87466
A11,1274317812298.2346,89927.19392090426,1634956095420.9875
A05,409849414292.73816,75621.09274180705,699204083134.2235
B09,57644267684.778854,11237.12225093374,126505742849.4707
A15,677459041171.1193,90441.99083346533,903107053566.4236
A07,268925858632.3839,35095.26284234596,352483131241.7686
A10,1263589678972.8406,111507.63356221795,1600581735282.6228
C06,573675822060.3636,79443.20553695007,816357477613.138
B12,345734948515.7511,156943.75826066197,776990339221.4755
B17,209067090647.08447,54540.471303917744,297443301645.1263
B16,946530070549.006,100000.29227019139,1865809105171.8083
A13,1175557699321.5173,60435.358808818695,1622448177538.9578
C02,485144377011.8354,143803.00529154134,646020651700.3759
A09,1636249479190.843,166041.83770990645,2352638048104.76
B04,889229172441.7944,78483.38070480477,1308090763949.9448
B20,5068055.73245614,16.50832486142065,5068055.73245614
