depth_code_sub,mae,mape,rmse
A12,8463599.300287938,2.2364378028727545,23813608.792461254
A01,13440077.733490163,17.73596471210166,27229311.070786282
A01,13440077.733490163,17.73596471210166,27229311.070786282
A04,13015792.87461102,8.588676672685827,24043343.606928084
C01,14628342.718227196,55.92771265025096,108815418.18800147
B01,50592990.77397743,9.443322247224767,131001500.11027095
A01,13440077.733490163,17.73596471210166,27229311.070786282
B14,4358964.392235665,5.257425799085003,11003761.482962798
B19,24161938.691909242,7.931746551608027,53277267.82684483
B08,14060065.058708679,4.495162309350167,134195313.55934379
A14,6166912.167034076,3.653509526576945,14015938.382074915
B13,9327444.886602322,241.96588525243945,22369371.43968421
A03,9970256.480231034,2.8545928021328986,24102783.124042246
C07,16930477.626369793,14.186407999032498,54526201.1352704
A08,6327964.712849122,3.444478571623479,14085167.223825049
A02,5459052.825816338,2.08493879415119,8483568.345031077
A06,7741878.846442013,29.096217178011866,15713462.9357644
B15,4825362.3425191995,2.427146760922432,8143504.929477117
B05,18489853.3996566,1.677280868211768,57364705.1874898
B06,13336067.843779575,4.2665365532756505,31872948.918332446
A01,13440077.733490163,17.73596471210166,27229311.070786282
B03,6937020.331608814,1.6928692974264539,20893177.71308995
B18,1074611.6783970147,0.5876690792940035,1074611.6783970147
C05,70907176.5510168,13.460280064256859,155320607.74627054
B22,6005570.320239437,9.273669212579655,9786879.239178544
B21,4371020.329939944,6.680164993954033,8407304.143537516
A11,8928816.227540417,1.0029721875925892,13436789.947396813
A05,15371939.822363487,7.435115045974914,27743953.817413405
B09,8671391.133807093,28.810747731709174,14520057.26339063
A15,4424393.4461190235,1.4348023737149544,5870214.602493542
A07,4820976.516322276,1.6245142045146341,7503856.110970168
A10,9829537.431966757,16.463782092457876,14827977.176509952
C06,13619492.81009394,15.193961804437635,19622975.7779976
B12,6874896.058392268,2.381406649452505,11180192.13974773
B17,2509153.7521274444,3.518816613692286,3247796.880238062
A13,15026145.275886197,4.057973480056156,23165474.92346427
C02,4503557.4872850515,1.873898044749274,7785445.097683785
A09,6893602.217729092,0.832490274702512,6893602.217729092
B04,7040982.721281539,0.7746660366232663,8842234.844158692
B20,479259.168482542,0.8806295153052334,566875.9648114496
