depth_code_sub,mae,mape,rmse
A12,8248147.521460749,11.12717697228489,15580304.648427295
A01,17049096.863608405,6.228506108269148,38606444.95271699
A01,17049096.863608405,6.228506108269148,38606444.95271699
A04,13751799.045329556,9.535992355249816,51318876.784603775
C01,14839298.292687515,263.1551390612357,56153068.40796567
B01,41019867.18827315,11.860650432647605,97232184.70933302
A01,17049096.863608405,6.228506108269148,38606444.95271699
B14,4264195.5213518,4.5615160990776085,9244407.989494853
B19,22202571.186163258,6.7035320631234505,40520491.07530254
B08,11258393.80626805,38.2419618956879,30190831.883264445
B02,4616446.328846202,6.906965077501524,9502496.595622577
A14,5416221.518822901,7.774373623665159,9072074.253533795
B13,9819521.224069072,15.818975886994204,20022917.331450507
A03,9534632.227963138,16.773932180094693,15536473.217937231
C07,23078856.960674863,16.062733788735393,57969877.192746274
A08,6149600.48552642,4.98667601322508,9016113.663055958
A02,6826492.2547499435,3.030972404774428,11388196.098709572
A06,9077541.56227641,5.995620244904468,16295969.328931332
B10,8236777.210327176,16.028962870393727,24522889.307334494
B15,4232210.665880886,5.739849570452146,6471173.814891634
B05,11831785.270612802,6.412242569764256,30607441.65362636
C04,21017120.103105906,12.89374550592678,67220160.54826729
B06,11104751.66016637,4.240231212723,21221867.194369975
A01,17049096.863608405,6.228506108269148,38606444.95271699
B03,7095572.572648725,3.058438253429033,17905841.188646674
B18,4476307.810488731,28.68882214684221,8954727.16971677
C05,75312830.81051604,6.7473231537630065,136432464.92997402
B22,5509530.22957554,4.790809418193364,8605726.928736988
B21,3291453.5327902255,47.914411824368116,7587127.897677707
A11,12834892.613490336,5.468740303101393,22242762.950997256
A05,10877179.902829316,1.550975919506703,16535204.700430077
B09,13827024.154327396,23.90611483423325,17568904.965173986
A15,4702961.444651038,1.517517205492668,6135263.091760199
A07,4585182.247893158,2.0994636022035187,6207066.285259583
A10,9008341.631493775,10.542371533540726,12439230.27515091
C06,13707856.119314963,14.683230811015742,39720177.88333714
B12,5520679.081760391,11.351241571791057,8028757.728588638
B17,5250158.786013274,1.725977289939473,19061192.38865662
B16,5073260.114991804,2.905216489495796,9087856.022194562
A13,10820706.79908228,4.126420051733734,14675121.966189796
C02,1385617.7547028507,0.3559753827296621,1394176.9907945516
A09,14542756.521017909,0.8529872089161199,18547802.855837643
B04,8143850.408965844,0.6797293883830865,12261646.990041457
B20,3269608.3852765863,4.901120242269415,4091053.289702526
