depth_code_sub,mae,mape,rmse
A12,3110616.407202446,0.6340595536928582,3212664.3738603424
A01,8220722.647783274,0.34281315694786735,16130391.110171184
A01,8220722.647783274,0.34281315694786735,16130391.110171184
A04,3590561.478639895,2.0255263210542043,3834576.188387611
C01,5464971.22258339,1.6974076583104662,7430665.093642354
B01,30485688.74412825,0.5797077196061816,37944965.88638408
A01,8220722.647783274,0.34281315694786735,16130391.110171184
B14,1539434.8616603704,8.778379286887457,1805499.1676862298
B19,4791561.64911931,0.31244249048134753,4909872.330445476
B08,2945089.2297949498,8.925688374360547,3076524.4297451223
B02,2478337.82489945,0.8573689094178706,3368016.9110869775
A14,12146545.416411681,0.8937704606364925,16745166.377834609
A03,3631492.5361402035,1.2001675393537712,3924399.2865368375
C07,6557214.681662381,0.9537188205750109,9011302.573244315
A08,2234006.7728046365,0.25262796436131757,2234006.7728046365
A02,5403059.598243066,1.7141778663648923,6503281.654919044
A06,3965178.0133624487,0.5318020906575341,5935378.328041354
B10,1577924.863033447,0.7062980608998127,1795227.3899839725
B15,2861227.0153239747,0.46906324232643914,2867841.5324216513
B05,43683233.4035619,0.8212137461073609,43683233.4035619
C04,427538.30390265305,0.16745072672579486,488704.77426835033
B06,7402666.539496627,0.18435573703697528,13840950.054510599
A01,8220722.647783274,0.34281315694786735,16130391.110171184
B18,5190966.342669426,0.3697970070329519,6786859.035350254
A07,1863314.6246841177,0.08340896728593378,1863314.6246841177
